rawdate,datestring,fulltime,timestring,,
2018/11/26,20181126,,,,
2018/11/27,20181127,,,,
2018/11/28,20181128,,,,
2018/11/29,20181129,,,,
2018/11/30,20181130,,,,
2018/12/1,20181201,,,,
2018/12/2,20181202,,,,
2018/12/3,20181203,,,,
2018/12/4,20181204,,,,
2018/12/5,20181205,,,,
2018/12/6,20181206,,,,
2018/12/7,20181207,,,,
2018/12/8,20181208,,,,
2018/12/9,20181209,,,,
2018/12/10,20181210,,,,
2018/12/11,20181211,,,,
2018/12/12,20181212,,,,
2018/12/13,20181213,,,,
2018/12/14,20181214,,,,
2018/12/15,20181215,,,,
2018/12/16,20181216,,,,
2018/12/17,20181217,,,,
2018/12/18,20181218,,,,
2018/12/19,20181219,,,,
2018/12/20,20181220,,,,
2018/12/21,20181221,,,,
2018/12/22,20181222,,,,
2018/12/23,20181223,,,,
2018/12/24,20181224,,,,
2018/12/25,20181225,,,,
2018/12/26,20181226,,,,
2018/12/27,20181227,,,,
2018/12/28,20181228,,,,
2018/12/29,20181229,,,,
2018/12/30,20181230,,,,
2018/12/31,20181231,,,,
2019/1/1,20190101,,,,
2019/1/2,20190102,,,,
2019/1/3,20190103,,,,
